level1,level2,p_value
Class,ASV,9.999000099990002e-5
Class,Family,9.999000099990002e-5
Class,Genus,9.999000099990002e-5
Class,Order,9.999000099990002e-5
Class,OTU,9.999000099990002e-5
Family,ASV,9.999000099990002e-5
Family,Genus,0.38346165383461656
Family,OTU,0.2800719928007199
Genus,ASV,9.999000099990002e-5
Genus,OTU,0.05799420057994201
Order,ASV,2.9997000299970003e-4
Order,Family,9.999000099990002e-5
Order,Genus,9.999000099990002e-5
Order,OTU,9.999000099990002e-5
OTU,ASV,1.9998000199980003e-4
Phylum,ASV,9.999000099990002e-5
Phylum,Class,0.48425157484251574
Phylum,Family,9.999000099990002e-5
Phylum,Genus,9.999000099990002e-5
Phylum,Order,9.999000099990002e-5
Phylum,OTU,9.999000099990002e-5
